Title,Year,IMDb Rating,IMDb Votes
Jungle Beat: The Movie,2020,5.4,"1,352"
The Woman in the Window,2021,5.7,"85,761"
Oxygen,2021,6.5,"45,977"
Nayattu,2021,8.1,"9,207"
Super Me,2019,5.8,"2,095"
Milestone,2020,6.7,772
Monster,2003,7.3,"166,588"
The Disciple,2020,7.1,"3,164"
The Mitchells vs. the Machines,2021,7.6,"132,243"
Things Heard & Seen,2021,5.3,"37,384"
Get the Grift,2021,5.4,888
Homunculus,2021,5.5,"3,855"
Searching for Sheela,2021,4.3,"1,575"
Stowaway,2021,5.7,"54,023"
Tell Me When,2020,5.8,"1,194"
Ajeeb Daastaans,2021,6.7,"6,522"
Arlo the Alligator Boy,2021,6.4,"1,285"
Barbie & Chelsea the Lost Birthday,2021,6.2,49
Ride or Die,2021,5.6,"2,697"
The Soul,2021,6.6,"3,478"
Why Did You Kill Me?,2021,5.6,"4,898"
New Gods: Nezha Reborn,2021,6.8,"4,075"
Night in Paradise,2020,6.8,"9,399"
Roohi,2021,4.3,"11,171"
Thunder Force,2021,4.6,"46,278"
Two Distant Strangers,2020,6.9,"21,233"
Dolly Parton: A MusiCares Tribute,2021,6.6,302
The Last Kids on Earth: Happy Apocalypse to You,2021,7.0,30
Mandela,2021,8.4,"8,681"
Concrete Cowboy,2020,6.3,"9,955"
Irul,2021,5.8,"3,670"
Just Say Yes,2021,4.6,"2,176"
Madame Claude,2021,5.4,"4,166"
Tersanjung: The Movie,2021,5.9,251
7 Yards: The Chris Norton Story,2021,7.8,310
Octonauts: The Ring of Fire,2021,6.7,209
Marked,2007,3.3,138
A Week Away,2021,5.8,"5,616"
Bad Trip,2021,6.5,"27,921"
Pagglait,2021,6.9,"10,527"
Caught by a Wave,2021,5.8,"1,586"
Secret Magic Control Agency,2021,6.2,"4,985"
Seaspiracy,2021,8.1,"34,660"
Loyiso Gola: Unlearning,2021,6.0,223
Onmyoji: The Yin Yang Master,2001,6.2,"1,593"
Deadly Illusions,2021,3.8,"13,950"
Nate Bargatze: The Greatest Average American,2021,7.4,"2,381"
RebellComedy: Straight Outta the Zoo,2021,4.8,47
C/O Kaadhal,2021,7.7,401
Paper Lives,2021,6.6,"14,096"
Yes Day,2021,5.7,"31,311"
Bombay Rose,2019,6.5,838
Aelay,2021,7.0,749
Dogwashers,2020,5.7,666
Sentinelle,2021,4.8,"8,952"
Moxie,2021,6.7,"29,348"
Biggie: I Got a Story to Tell,2021,6.8,"5,640"
Connected,2008,6.6,"2,563"
Bigfoot Family,2020,5.8,"3,703"
Crazy About Her,2021,6.6,"6,662"
The Girl on the Train,2016,6.5,"203,817"
Geez & Ann,2021,5.1,334
Brian Regan: On the Rocks,2021,6.9,764
Pelé,2021,7.0,"5,815"
RED,2010,7.0,"329,993"
Fate: The Winx Saga - The Afterparty,2021,6.4,169
I Care a Lot,2020,6.4,"150,436"
Animals on the Loose: A You vs. Wild Movie,2021,5.8,"1,066"
Namaste Wahala,2021,4.9,"1,647"
Hate by Dani Rovira,2021,6.7,471
